,NAME,SEASON,PTS,REB,AST,BLK,STL,G,FG%,3P%,FT%,TS%,USG%,PER,WS,BPM,VORP,SALARY
82,Patrick Beverley,2017-2018,134.0,45.0,32.0,5.0,19.0,11,0.40299999999999997,0.4,0.8240000000000001,0.53,19.6,12.3,0.4,0.6,0.2,5756757.0
83,Kawhi Leonard,2017-2018,146.0,42.0,21.0,9.0,18.0,9,0.46799999999999997,0.314,0.816,0.5720000000000001,30.6,26.0,0.9,5.9,0.4,21754050.8
0,Al Horford,2018-2019,924.8,455.6,285.6,88.4,61.2,68,0.535,0.36,0.821,0.605,18.7,20.2,7.5,4.8,3.4,27800803.75
1,Anthony Davis,2018-2019,1450.3999999999999,672.0,218.4,134.4,89.60000000000001,56,0.517,0.331,0.794,0.597,28.7,30.3,9.5,8.5,4.9,24604884.5
2,Aron Baynes,2018-2019,285.59999999999997,239.70000000000002,56.1,35.699999999999996,10.200000000000001,51,0.47100000000000003,0.344,0.855,0.5670000000000001,14.5,14.0,2.4,0.2,0.5,5323440.0
3,Avery Bradley,2018-2019,623.7,176.39999999999998,151.2,18.9,44.099999999999994,63,0.408,0.35100000000000003,0.86,0.496,15.9,7.6,0.3,-2.8,-0.4,8383500.0
4,Bismack Biyombo,2018-2019,237.60000000000002,248.39999999999998,32.4,43.2,10.8,54,0.5710000000000001,0.0,0.637,0.602,12.6,14.4,2.0,-1.1,0.2,17000000.0
5,Bryn Forbes,2018-2019,967.6,237.79999999999998,172.20000000000002,0.0,41.0,82,0.456,0.426,0.885,0.586,16.9,12.0,3.8,-0.7,0.7,3000000.0
6,Danilo Gallinari,2018-2019,1346.4,414.79999999999995,176.8,20.4,47.599999999999994,68,0.46299999999999997,0.433,0.904,0.633,23.6,21.0,8.2,2.9,2.6,21587579.0
7,Davis Bertans,2018-2019,608.0,266.0,98.8,30.400000000000002,38.0,76,0.45,0.429,0.883,0.632,13.4,13.0,4.0,1.2,1.3,7000000.0
8,Derrick Favors,2018-2019,896.8000000000001,562.4,91.2,106.39999999999999,53.199999999999996,76,0.586,0.218,0.675,0.624,18.5,21.8,7.9,4.3,2.8,17275000.0
