NAME,SEASON,G,FG%,3P%,FT%,REB,AST,STL,BLK,PTS,PER,TS%,USG%,WS,BPM,VORP
De'Andre Hunter,2019-2020,63,0.41,0.355,0.764,283.5,113.4,44.099999999999994,18.9,774.9000000000001,8.6,0.521,17.5,0.1,-4.7,-1.4
JaMychal Green,2019-2020,63,0.429,0.387,0.75,390.6,50.400000000000006,31.5,25.200000000000003,428.4,11.1,0.5760000000000001,13.7,3.1,-0.5,0.5
Bryn Forbes,2019-2020,63,0.41700000000000004,0.38799999999999996,0.833,126.0,107.1,31.5,0.0,705.5999999999999,11.1,0.57,18.5,1.5,-2.7,-0.3
Danuel House,2019-2020,63,0.42700000000000005,0.363,0.8109999999999999,264.6,81.9,69.30000000000001,31.5,661.5,11.3,0.5720000000000001,13.7,3.6,-0.7,0.6
Jerome Robinson,2019-2020,63,0.371,0.32,0.7020000000000001,126.0,88.19999999999999,25.200000000000003,18.9,321.29999999999995,7.4,0.47600000000000003,16.4,0.2,-3.9,-0.5
Terry Rozier,2019-2020,63,0.423,0.40700000000000003,0.8740000000000001,277.20000000000005,258.29999999999995,63.0,12.600000000000001,1134.0,14.8,0.5529999999999999,23.7,3.0,-0.4,0.8
Devonte' Graham,2019-2020,63,0.382,0.373,0.82,214.2,472.5,63.0,12.600000000000001,1146.6,15.8,0.537,24.8,3.4,0.5,1.4
Trey Lyles,2019-2020,63,0.446,0.387,0.733,359.1,69.30000000000001,25.200000000000003,25.200000000000003,403.20000000000005,12.6,0.557,13.6,2.2,-1.2,0.3
Steven Adams,2019-2020,63,0.5920000000000001,0.33299999999999996,0.5820000000000001,585.9000000000001,144.89999999999998,50.400000000000006,69.30000000000001,686.7,20.5,0.604,17.3,6.5,2.9,2.1
Lonzo Ball,2019-2020,63,0.40299999999999997,0.375,0.5660000000000001,384.29999999999995,441.0,88.19999999999999,37.8,743.4000000000001,13.1,0.517,18.5,2.4,0.6,1.3
Giannis Antetokounmpo,2019-2020,63,0.5529999999999999,0.304,0.633,856.8,352.79999999999995,63.0,63.0,1858.5,31.9,0.613,37.5,11.1,11.5,6.6
Bojan Bogdanović,2019-2020,63,0.447,0.414,0.903,258.29999999999995,132.3,31.5,6.300000000000001,1272.6,15.6,0.603,25.5,4.2,0.1,1.1
Domantas Sabonis,2019-2020,62,0.54,0.254,0.723,768.8000000000001,310.0,49.6,31.0,1147.0,20.7,0.586,23.3,7.5,3.2,2.9
Danilo Gallinari,2019-2020,62,0.43799999999999994,0.405,0.893,322.40000000000003,117.8,43.4,6.2,1159.3999999999999,19.5,0.612,24.6,6.3,3.3,2.4
Taj Gibson,2019-2020,62,0.584,0.28600000000000003,0.732,266.59999999999997,49.6,24.8,31.0,378.2,16.1,0.61,14.8,2.6,-1.1,0.2
Garrett Temple,2019-2020,62,0.37799999999999995,0.32899999999999996,0.805,217.0,155.0,49.6,31.0,638.6,10.5,0.513,16.6,2.4,-1.1,0.4
Aaron Gordon,2019-2020,62,0.43700000000000006,0.308,0.674,477.40000000000003,229.4,49.6,37.199999999999996,892.8000000000001,15.1,0.516,20.7,3.7,0.0,1.0
Glenn Robinson III,2019-2020,62,0.486,0.391,0.86,272.8,93.0,55.800000000000004,18.599999999999998,725.4,13.3,0.5770000000000001,16.4,2.9,-1.7,0.1
Chris Boucher,2019-2020,62,0.47200000000000003,0.322,0.784,279.0,24.8,24.8,62.0,409.2,20.7,0.5870000000000001,19.7,3.8,2.0,0.8
Maurice Harkless,2019-2020,62,0.502,0.34700000000000003,0.591,241.79999999999998,68.2,55.800000000000004,31.0,359.59999999999997,9.8,0.5720000000000001,10.7,2.7,-0.7,0.5
Josh Okogie,2019-2020,62,0.42700000000000005,0.266,0.7959999999999999,266.59999999999997,99.2,68.2,24.8,533.1999999999999,11.5,0.5529999999999999,15.1,2.2,-2.4,-0.2
Anthony Davis,2019-2020,62,0.503,0.33,0.846,576.6,198.4,93.0,142.6,1618.2,27.4,0.61,29.3,11.1,8.0,5.4
Nikola Vučević,2019-2020,62,0.47700000000000004,0.33899999999999997,0.784,675.8000000000001,223.20000000000002,55.800000000000004,49.6,1215.2,21.9,0.5489999999999999,25.8,6.4,4.2,3.1
Marcus Morris,2019-2020,62,0.43799999999999994,0.408,0.823,310.0,86.8,49.6,31.0,1035.3999999999999,14.3,0.57,21.9,3.6,-0.1,0.9
Brandon Ingram,2019-2020,62,0.46299999999999997,0.391,0.851,378.2,260.40000000000003,62.0,37.199999999999996,1475.6000000000001,18.8,0.5870000000000001,28.1,5.1,2.1,2.2
Mo Bamba,2019-2020,62,0.462,0.34600000000000003,0.674,303.8,43.4,24.8,86.8,334.8,17.5,0.542,17.1,2.5,0.4,0.5
Khris Middleton,2019-2020,62,0.49700000000000005,0.415,0.9159999999999999,384.40000000000003,266.59999999999997,55.800000000000004,6.2,1295.8,21.1,0.619,26.4,7.9,4.1,2.9
Myles Turner,2019-2020,62,0.457,0.344,0.7509999999999999,409.2,74.39999999999999,43.4,130.20000000000002,750.1999999999999,14.8,0.5660000000000001,17.9,4.2,0.1,1.0
Christian Wood,2019-2020,62,0.5670000000000001,0.386,0.7440000000000001,390.59999999999997,62.0,31.0,55.800000000000004,812.1999999999999,23.2,0.659,23.0,5.1,3.1,1.7
Mason Plumlee,2019-2020,61,0.615,0.0,0.535,317.2,152.5,30.5,36.6,439.2,18.8,0.613,18.0,3.4,2.0,1.1
Luka Dončić,2019-2020,61,0.46299999999999997,0.316,0.758,573.4,536.8000000000001,61.0,12.200000000000001,1756.8,27.6,0.585,36.8,8.8,8.4,5.4
Bogdan Bogdanović,2019-2020,61,0.44,0.37200000000000005,0.741,207.4,207.4,61.0,12.200000000000001,921.1,15.1,0.565,22.6,3.1,0.6,1.2
Gary Trent Jr.,2019-2020,61,0.444,0.418,0.8220000000000001,97.60000000000001,61.0,48.800000000000004,18.3,542.9,12.9,0.5870000000000001,15.3,2.5,-0.3,0.6
Jrue Holiday,2019-2020,61,0.455,0.353,0.7090000000000001,292.8,408.7,97.60000000000001,48.800000000000004,1165.1000000000001,17.0,0.537,24.5,3.9,1.8,2.0
Darius Bazley,2019-2020,61,0.39399999999999996,0.348,0.6940000000000001,244.0,42.699999999999996,24.400000000000002,42.699999999999996,341.59999999999997,9.6,0.49700000000000005,15.1,1.0,-1.6,0.1
Eric Bledsoe,2019-2020,61,0.475,0.344,0.79,280.59999999999997,329.40000000000003,54.9,24.400000000000002,908.9,17.6,0.5710000000000001,23.7,5.4,1.8,1.6
Nerlens Noel,2019-2020,61,0.684,0.33299999999999996,0.755,298.90000000000003,54.9,61.0,91.5,451.40000000000003,20.4,0.711,14.9,4.9,3.1,1.5
Kyle Kuzma,2019-2020,61,0.436,0.316,0.735,274.5,79.3,30.5,24.400000000000002,780.8000000000001,12.2,0.531,22.9,2.0,-2.6,-0.2
Lonnie Walker,2019-2020,61,0.426,0.406,0.721,140.29999999999998,67.10000000000001,30.5,12.200000000000001,390.40000000000003,10.5,0.507,18.7,0.3,-3.5,-0.4
Mitchell Robinson,2019-2020,61,0.742,,0.568,427.0,36.6,54.9,122.0,591.6999999999999,23.5,0.726,13.3,6.8,2.9,1.8
J.J. Redick,2019-2020,60,0.45299999999999996,0.45299999999999996,0.892,150.0,120.0,18.0,12.0,918.0,15.4,0.644,20.4,4.1,0.7,1.1
Pascal Siakam,2019-2020,60,0.45299999999999996,0.359,0.792,438.0,210.0,60.0,54.0,1374.0,17.9,0.5539999999999999,28.1,5.4,1.8,2.0
Eric Paschall,2019-2020,60,0.49700000000000005,0.287,0.774,276.0,126.0,30.0,12.0,840.0,14.5,0.5710000000000001,21.4,2.1,-2.7,-0.3
De'Anthony Melton,2019-2020,60,0.401,0.28600000000000003,0.769,222.0,174.0,78.0,18.0,456.0,13.5,0.501,19.2,1.7,-0.2,0.5
Vince Carter,2019-2020,60,0.35200000000000004,0.302,0.7929999999999999,126.0,48.0,24.0,24.0,300.0,7.5,0.47,16.6,-0.2,-4.3,-0.5
Trae Young,2019-2020,60,0.43700000000000006,0.361,0.86,258.0,558.0,66.0,6.0,1776.0,23.9,0.595,34.9,5.9,3.9,3.1
Marcus Smart,2019-2020,60,0.375,0.34700000000000003,0.836,228.0,294.0,102.0,30.0,774.0,13.8,0.518,18.9,4.5,1.4,1.6
Nicolò Melli,2019-2020,60,0.42100000000000004,0.335,0.74,180.0,84.0,36.0,24.0,396.0,11.4,0.556,15.7,1.8,-1.3,0.2
Zach LaVine,2019-2020,60,0.45,0.38,0.802,288.0,252.0,90.0,30.0,1530.0,19.4,0.568,31.7,4.0,2.4,2.4
Thon Maker,2019-2020,60,0.48200000000000004,0.344,0.664,168.0,42.0,24.0,42.0,282.0,13.7,0.5820000000000001,16.1,1.5,-1.4,0.1
Rondae Hollis-Jefferson,2019-2020,60,0.47100000000000003,0.13,0.7340000000000001,282.0,108.0,48.0,24.0,420.0,15.1,0.5329999999999999,17.2,3.4,0.3,0.6
Jeff Teague,2019-2020,59,0.436,0.368,0.873,141.6,306.8,41.3,17.7,643.1,14.6,0.557,19.5,2.5,-1.5,0.2
Tony Snell,2019-2020,59,0.445,0.402,1.0,112.1,129.8,29.5,17.7,472.0,9.7,0.598,11.4,2.6,-1.8,0.1
Patrick Patterson,2019-2020,59,0.408,0.39,0.8140000000000001,153.4,41.3,5.9,5.9,289.1,11.5,0.58,14.7,1.9,0.3,0.5
Goran Dragić,2019-2020,59,0.441,0.36700000000000005,0.7759999999999999,188.8,300.9,41.3,11.8,955.8,16.3,0.573,25.9,3.5,-0.1,0.8
Marquese Chriss,2019-2020,59,0.545,0.205,0.769,365.8,112.1,41.3,64.9,548.7,19.5,0.604,19.0,3.4,0.6,0.8
Jamal Murray,2019-2020,59,0.456,0.34600000000000003,0.8809999999999999,236.0,283.2,64.9,17.7,1091.5,17.7,0.5589999999999999,25.2,4.3,1.2,1.5
Frank Jackson,2019-2020,59,0.405,0.326,0.747,82.6,59.0,17.7,5.9,371.7,9.1,0.51,21.2,0.2,-5.5,-0.7
Solomon Hill,2019-2020,59,0.396,0.368,0.741,165.2,106.2,41.3,11.8,324.5,9.8,0.535,13.6,1.4,-1.7,0.1
George Hill,2019-2020,59,0.516,0.46,0.8420000000000001,177.0,182.9,47.2,5.9,554.6,16.9,0.659,15.5,5.5,2.9,1.6
Darius Garland,2019-2020,59,0.401,0.355,0.875,112.1,230.1,41.3,5.9,725.7,8.5,0.498,20.7,-1.3,-5.6,-1.7
Derrick Jones Jr.,2019-2020,59,0.527,0.28,0.772,230.1,64.9,59.0,35.4,501.5,14.9,0.62,13.9,4.4,0.7,1.0
Bruce Brown,2019-2020,58,0.44299999999999995,0.344,0.7390000000000001,272.6,232.0,63.800000000000004,29.0,516.2,11.9,0.518,16.0,2.1,-1.2,0.3
